school,prim_color,sec_color,text_color
Air Force,#003087,#8A8D8F,#8A8D8F
Akron,#041E42,#A89968,#A89968
Alabama,#9E1B32,#828A8F,#FFFFFF
Appalachian State,#222222,#FFCC00,#FFCC00
Arizona,#CC0033,#003366,#FFFFFF
Arizona State,#8C1D40,#FFC627,#FFC627
Arkansas,#9D2235,#FFFFFF,#FFFFFF
Arkansas State,#CC092F,#000000,#000000
Army,#000000,#D4BF91,#D4BF91
Auburn,#0C2340,#E87722,#E87722
Ball State,#BA0C2F,#FFFFFF,#FFFFFF
Baylor,#003015,#FECB00,#FECB00
Boise State,#D64309,#0033A0,#FFFFFF
Boston College,#98002E,#BC9B6A,#BC9B6A
Bowling Green,#FE5000,#4F2C1D,#4F2C1D
Buffalo,#005BBB,#FFFFFF,#FFFFFF
BYU,#002E5D,#FFFFFF,#FFFFFF
California,#003262,#FDB515,#FDB515
Central Michigan,#6A0032,#FFC82E,#FFC82E
Charlotte,#046A38,#B9975B,#B9975B
Cincinnati,#E00122,#000000,#000000
Clemson,#F56600,#522D80,#522D80
Coastal Carolina,#006F71,#A27752,#FFFFFF
Colorado,#CFB87C,#565A5C,#565A5C
Colorado State,#1E4D2B,#C8C372,#C8C372
Duke,#003087,#FFFFFF,#FFFFFF
East Carolina,#592A8A,#FDC82F,#FDC82F
Eastern Michigan,#006633,#FFFFFF,#FFFFFF
Florida International,#081E3F,#B6862C,#B6862C
Florida,#0021A5,#FA4616,#FA4616
Florida Atlantic,#003366,#CC0000,#FFFFFF
Florida State,#782F40,#CEB888,#CEB888
Fresno State,#DB0032,#002E6D,#FFFFFF
Georgia,#BA0C2F,#FFFFFF,#FFFFFF
Georgia Southern,#011E41,#A3AAAE,#A3AAAE
Georgia State,#0039A6,#C60C30,#FFFFFF
Georgia Tech,#B3A369,#003057,#003057
Hawai'i,#024731,#C8C8C8,#C8C8C8
Houston,#C8102E,#B2B4B2,#B2B4B2
Illinois,#13294B,#E84A27,#E84A27
Indiana,#990000,#EEEDEB,#EEEDEB
Iowa,#FFCD00,#000000,#000000
Iowa State,#C8102E,#F1BE48,#F1BE48
Kansas,#0051BA,#E8000D,#FFFFFF
Kansas State,#512888,#FFFFFF,#FFFFFF
Kent State,#002664,#EAAB00,#EAAB00
Kentucky,#0033A0,#FFFFFF,#FFFFFF
Liberty,#002D62,#C41230,#FFFFFF
Louisiana,#CE181E,#C1C5C9,#C1C5C9
Louisiana Monroe,#800029,#BD955A,#BD955A
Louisiana Tech,#002F8B,#E31B23,#FFFFFF
Louisville,#AD0000,#FDB913,#FDB913
LSU,#461D7C,#FDD023,#FDD023
Marshall,#00B140,#A2AAAD,#FFFFFF
Maryland,#E03A3E,#FFD520,#FFD520
Memphis,#003087,#898D8D,#FFFFFF
Miami,#F47321,#005030,#005030
Miami (OH),#B61E2E,#FFFFFF,#FFFFFF
Michigan,#00274C,#FFCB05,#FFCB05
Michigan State,#18453B,#FFFFFF,#FFFFFF
Middle Tennessee,#0066CC,#69B3E7,#FFFFFF
Minnesota,#7A0019,#FFCC33,#FFCC33
Mississippi State,#660000,#FFFFFF,#FFFFFF
Missouri,#F1B82D,#000000,#000000
Navy,#00205B,#C5B783,#C5B783
NC State,#CC0000,#FFFFFF,#FFFFFF
Nebraska,#E41C38,#FFFFFF,#FFFFFF
Nevada,#003366,#807F84,#FFFFFF
New Mexico,#BA0C2F,#A7A8AA,#A7A8AA
New Mexico State,#861F41,#97999B,#97999B
North Carolina,#7BAFD4,#13294B,#13294B
North Texas,#00853E,#FFFFFF,#FFFFFF
Northern Illinois,#BA0C2F,#8A8D8F,#FFFFFF
Northwestern,#4E2A84,#FFFFFF,#FFFFFF
Notre Dame,#0C2340,#C99700,#C99700
Ohio,#00694E,#CDA077,#CDA077
Ohio State,#BB0000,#666666,#FFFFFF
Oklahoma,#841617,#FDF9D8,#FDF9D8
Oklahoma State,#FF7300,#FFFFFF,#FFFFFF
Old Dominion,#003057,#7C878E,#7C878E
Ole Miss,#CE1126,#14213D,#FFFFFF
Oregon,#154733,#FEE123,#FEE123
Oregon State,#DC4405,#000000,#000000
Penn State,#041E42,#FFFFFF,#FFFFFF
Pittsburgh,#003594,#FFB81C,#FFB81C
Purdue,#CEB888,#9D968D,#000000
Rice,#00205B,#C1C6C8,#C1C6C8
Rutgers,#CC0033,#5F6A72,#FFFFFF
San Diego State,#A6192E,#FFFFFF,#FFFFFF
San José State,#0055A2,#E5A823,#E5A823
SMU,#0033A0,#C8102E,#FFFFFF
South Alabama,#00205B,#BF0D3E,#FFFFFF
South Carolina,#73000A,#FFFFFF,#FFFFFF
South Florida,#006747,#CFC493,#CFC493
Southern Mississippi,#FFAB00,#000000,#000000
Stanford,#8C1515,#4D4F53,#FFFFFF
Syracuse,#F76900,#000E54,#000E54
TCU,#4D1979,#A3A9AC,#A3A9AC
Temple,#9D2235,#8A8D8F,#FFFFFF
Tennessee,#FF8200,#FFFFFF,#FFFFFF
Texas,#BF5700,#FFFFFF,#FFFFFF
Texas A&M,#500000,#FFFFFF,#FFFFFF
Texas State,#501214,#8D734A,#FFFFFF
Texas Tech,#CC0000,#000000,#000000
Toledo,#15397F,#FFDA00,#FFDA00
Troy,#8A2432,#B3B5B8,#B3B5B8
Tulane,#006747,#43B02A,#FFFFFF
Tulsa,#002D72,#C8102E,#FFFFFF
UAB,#1E6B52,#295135,#ffd400
UCF,#FFC904,#BA9B37,#000000
UCLA,#2D68C4,#F2A900,#F2A900
Connecticut,#000E2F,#FFFFFF,#FFFFFF
UMass,#971B2F,#572932,#FFFFFF
UNLV,#CF0A2C,#CAC8C8,#CAC8C8
USC,#990000,#FFC72C,#FFC72C
UTEP,#FF8200,#041E42,#041E42
UT San Antonio,#F15A22,#0C2340,#0C2340
Utah,#CC0000,#808080,#FFFFFF
Utah State,#0F2439,#FFFFFF,#FFFFFF
Vanderbilt,#866D4B,#000000,#000000
Virginia,#E57200,#232D4B,#232D4B
Virginia Tech,#630031,#CF4420,#FFFFFF
Wake Forest,#9E7E38,#000000,#000000
Washington,#4B2E83,#B7A57A,#B7A57A
Washington State,#981E32,#5E6A71,#FFFFFF
West Virginia,#002855,#EAAA00,#EAAA00
Western Kentucky,#C60C30,#A2A4A3,#FFFFFF
Western Michigan,#6C4023,#B5A167,#B5A167
Wisconsin,#C5050C,#9B0000,#FFFFFF
Wyoming,#FFC425,#492F24,#492F24
Stephen F. Austin,#5F259F,#060808,#FFFFFF
Central Arkansas,#4F2D7F,#818A8F,#FFFFFF
Houston Baptist,#00529C,#F85512,#FFFFFF
Eastern Kentucky,#4C151E,#FFFFFF,#FFFFFF
Citadel,#3975B7,#1F3A60,#FFFFFF
The Citadel,#3975B7,#1F3A60,#FFFFFF
Missouri State,#5E0009,#000000,#FFFFFF
Campbell,#EA7125,#1E252B,#FFFFFF
Abilene Christian,#4E2683,#FFFFFF,#FFFFFF
Austin Peay,#C41E3A,#000000,#FFFFFF
North Alabama,#46166B,#DB9F11,#FFFFFF
Jacksonville State,#CC0000,#FFFFFF,#FFFFFF
Mercer,#f76800,#222222,#FFFFFF
Chattanooga,#112e51,#fdb736,#adafaa
Western Carolina,#592C88,#C1A875,#FFFFFF
